74.14 segundos, 2232 Kilobytes
80.19 segundos, 2244 Kilobytes
61.87 segundos, 2168 Kilobytes
67.31 segundos, 2272 Kilobytes
89.51 segundos, 2260 Kilobytes
82.73 segundos, 2300 Kilobytes
95.31 segundos, 2252 Kilobytes
89.86 segundos, 2268 Kilobytes
78.95 segundos, 2304 Kilobytes
86.24 segundos, 2264 Kilobytes
87.91 segundos, 2236 Kilobytes
256.13 segundos, 2268 Kilobytes
151.76 segundos, 2320 Kilobytes
158.59 segundos, 2316 Kilobytes
237.33 segundos, 2240 Kilobytes
82.66 segundos, 2236 Kilobytes
